,Unnamed: 0,id,local_name,unique_name,latitude,longitude,population,country,city
4016,4016,820,"Sylt, Schleswig-Holstein, Deutschland",sylt,54.947112,8.333578999999999,,Deutschland,
4017,4017,7787,"Montréal, Auvergne-Rhône-Alpes, France",montreal,46.18721,5.57078,,France,
4018,4018,9531,"Cierp, Occitanie, France",cierp,42.9151,0.6391,,France,
4019,4019,2096,"Neath, Wales, United Kingdom",neath,51.6628422,-3.8039116,,United Kingdom,
4020,4020,2132,"Novigrad, Istarska županija, Hrvatska",novigrad,45.3168509,13.5649454,,Hrvatska,
4021,4021,2134,"Novi Vinodolski, Primorsko-goranska županija, Hrvatska",novi-vinodolski,45.1270044,14.791406699999998,,Hrvatska,
4022,4022,2145,"Nyborg, Region Syddanmark, Danmark",nyborg,55.3098281,10.7976604,,Danmark,
4023,4023,2153,"Olszyna, lubuskie, Polska",olszyna,51.6330682,14.8483415,,Polska,
4024,4024,2155,"Omiš, Splitsko-dalmatinska županija, Hrvatska",omis,43.4446927,16.6912891,,Hrvatska,
4025,4025,2158,"Oradea, Bihor, România",oradea,47.0569272,21.9326054,196367.0,România,Oradea
4026,4026,2160,"Orăștie, Hunedoara, România",oraștie,45.83676370000001,23.1958453,,România,
4027,4027,2178,"Paignton, England, United Kingdom",paignton,50.4377018,-3.5632703,,United Kingdom,
4028,4028,6196,"Ciney, Wallonie, Belgique",ciney,50.292,5.0906,,België / Belgique / Belgien,
4029,4029,2527,"Székesfehérvár, Dunántúl, Magyarország",szekesfehervar,47.1910169,18.410811,,Magyarország,Székesfehérvár
4030,4030,9537,"Clairvaux, Grand-Est, France",clairvaux,48.14586,4.79324,,France,
4031,4031,2181,"Paris Aéroport Orly, Île-de-France, France",paris-aeroport-orly,48.7453214,2.3951432999999995,2220445.0,France,
4032,4032,2188,"Pazardjik, Pazardjik, Bulgaria",pazardjik,42.1884549,24.331899300000003,,Бългaрия,Пазарджик
4033,4033,2208,"Pilkovići, Istarska županija, Hrvatska",pilkovici,45.1109131,13.784755,,Hrvatska,
4034,4034,2116,"Nijemci, Vukovarsko-srijemska županija, Hrvatska",nijemci,45.1405068,19.0368352,,Hrvatska,
4035,4035,2119,"Nisko, podkarpackie, Polska",nisko,50.5198985,22.139886,,Polska,
4036,4036,2192,"Pembroke, Wales, United Kingdom",pembroke,51.6754422,-4.9144857,,United Kingdom,
4037,4037,2195,"Penrith, England, United Kingdom",penrith,54.66391329999999,-2.7522046,,United Kingdom,Eden
4038,4038,2196,"Penryn, England, United Kingdom",penryn,50.1685495,-5.1034062,,United Kingdom,
4039,4039,2202,"Peterlee, England, United Kingdom",peterlee,54.7618912,-1.3321518,,United Kingdom,
4040,4040,2204,"Piatra Neamț, Neamț, România",piatra-neamț,46.9319894,26.369504600000006,,România,Piatra Neamț
4041,4041,2207,"Piła, wielkopolskie, Polska",pila,53.15227965,16.731936577785802,,Polska,
4042,4042,823,"Tai Di Cadore, Veneto, Italia",tai-di-cadore,46.4237518,12.3647498,,Italia,
4043,4043,5946,"Buchloe, Bayern, Deutschland",buchloe,48.0331,10.7158,,Deutschland,
4044,4044,9538,"Clermont-Créans, Pays-de-la-Loire, France",clermont-creans,47.71739,-0.0168,,France,
4045,4045,9539,"Clermont en Argonne, Grand-Est, France",clermont-en-argonne,49.1053,5.0707,,France,
4046,4046,5471,"Alkmaar, Noord-Holland, Nederland",alkmaar,52.6378,4.7411,,Nederland,Alkmaar
4047,4047,9544,"Concots, Occitanie, France",concots,44.40132,1.64463,,France,
4048,4048,5477,"Allex, Auvergne-Rhône-Alpes, France",allex,44.76478,4.9154599999999995,,France,
4049,4049,6267,"Coo, Wallonie, Belgique",coo,50.3913,5.8809,,België / Belgique / Belgien,
4050,4050,9586,"Domfront, Hauts-de-France, France",domfront,49.6035,2.5552,,France,
4051,4051,4985,"Rust, Baden-Württemberg, Deutschland",rust,48.2643677,7.7165078,,Deutschland,
4052,4052,2218,"Plauen, Sachsen, Deutschland",plauen,50.4950632,12.1346523,,Deutschland,
4053,4053,2219,"Ploče, Dubrovačko-neretvanska županija, Hrvatska",ploce,43.0533744,17.436037600000002,,Hrvatska,
4054,4054,2220,"Płock, mazowieckie, Polska",plock,52.5464521,19.7008606,122815.0,Polska,Płock
4055,4055,2223,"Plymouth, England, UK",plymouth,50.3712659,-4.1425657,234982.0,United Kingdom,Plymouth
4056,4056,2225,"Podgora, Splitsko-dalmatinska županija, Hrvatska",podgora,43.2433472,17.0750713,,Hrvatska,
4057,4057,2233,"Pombal, Centro, Portugal",pombal,39.91619470000001,-8.628226300000001,,Portugal,Pombal
4058,4058,2237,"Ponte, Norte, Portugal",ponte,41.4712798,-8.3384361,,Portugal,
4059,4059,2244,"Porthleven, England, United Kingdom",porthleven,50.0849174,-5.3166557,,United Kingdom,
4060,4060,5030,"Überlingen, Baden-Württemberg, Deutschland",uberlingen,47.769278,9.163279,,Deutschland,
4061,4061,610,"Orlamuende, Thüringen, Deutschland",orlamuende,50.7737899,11.5161408,,Deutschland,
4062,4062,2217,"Pizzo, Calabria, Italia",pizzo,38.7354356,16.1620851,,Italia,
4063,4063,5057,"Wetter, Hessen, Deutschland",wetter,50.90524600000001,8.727849,,Deutschland,
4064,4064,5040,"Vidče, Střední Morava, Česko",vidce,49.43333300000001,18.1,,Česko,
4065,4065,7099,"Lamerey, Grand-Est, France",lamerey,48.2217,6.2375,,France,
4066,4066,4879,"Lingen (Ems), Niedersachsen, Deutschland",lingen-,52.532139,7.323011,,Deutschland,
4067,4067,7102,"La Miouze - Rochefort, Auvergne-Rhône-Alpes, France",la-miouze---rochefort,45.7638,2.8273099999999998,,France,
4068,4068,3715,"Pompei, CAM, Italia",pompei,40.748023,14.505354999999998,,Italia,
4069,4069,4861,"Köthen, Sachsen-Anhalt, Deutschland",kothen,51.75057620000001,11.9802357,,Deutschland,
4070,4070,611,"Orléans, Centre-Val de Loire, France",orleans,47.907018,1.90627,114977.0,France,Orléans
4071,4071,613,"Orvieto, Umbria, Italia",orvieto,42.7185068,12.1107446,,Italia,
4072,4072,616,"Osterode, Niedersachsen, Deutschland",osterode,51.7293769,10.2580311,,Deutschland,
4073,4073,619,"Ouistreham, Normandie, France",ouistreham,49.283652,-0.249723,,France,
4074,4074,635,"Pau, Nouvelle-Aquitaine, France",pau,43.301839,-0.36712506,,France,Pau
4075,4075,638,"Périgueux, Nouvelle-Aquitaine, France",perigueux,45.14312,0.698516,,France,
4076,4076,2267,"Privlaka, Zadarska županija, Hrvatska",privlaka,45.1933766,18.8378028,,Hrvatska,
4077,4077,2281,"Pyrzowice, śląskie, Polska",pyrzowice,50.4610074,19.0716795,,Polska,
4078,4078,2289,"Rame, England, UK",rame,50.1617888,-5.1829578000000005,,United Kingdom,
4079,4079,2403,"Sé, Santa Maria e Meixedo, Norte, Portugal",se,41.81199235,-6.767293264467231,,Portugal,Bragança
4080,4080,2292,"Ramsau im Zillertal, Tirol, Österreich",ramsau-im-zillertal,47.204666,11.8737046,,Österreich,Gemeinde Ramsau im Zillertal
4081,4081,7119,"Landen, Vlaanderen, Belgique",landen,50.7479,5.0797,,België / Belgique / Belgien,
4082,4082,5726,"Beauvais, Hauts-de-France, France",beauvais,49.42664,2.0884099999999997,,France,
4083,4083,9568,"Damville, Normandie, France",damville,48.8709,1.0777,,France,Mesnils-sur-Iton
4084,4084,9573,"Demu, Occitanie, France",demu,43.7654,0.16618,,France,
4085,4085,2278,"Püspökladány, Alföld és Észak, Magyarország",puspokladany,47.3195803,21.1123019,,Magyarország,
4086,4086,2271,"Przeworsk, podkarpackie, Polska",przeworsk,50.0601735,22.4923769,,Polska,
4087,4087,2272,"Pszczyna, śląskie, Polska",pszczyna,49.9778328,18.9425124,,Polska,
4088,4088,2274,"Puget-sur-Argens, Provence-Alpes-Côte d'Azur, France",puget-sur-argens,43.456168100000006,6.6844356,,France,
4089,4089,2282,"Rabac, Istarska županija, Hrvatska",rabac,45.0804894,14.1530529,,Hrvatska,
4090,4090,2283,"Racibórz, śląskie, Polska",raciborz,50.0917343,18.2196766,,Polska,
4091,4091,2286,"Radom, mazowieckie, Polska",radom,51.40273060000001,21.1572247,218466.0,Polska,Radom
4092,4092,2288,"Radstock, England, United Kingdom",radstock,51.2919489,-2.447623,,United Kingdom,
4093,4093,10699,"ΛΑΙΚΕΣ ΚΑΤΟΙΚΙΕΣ, Περιφέρεια Νοτίου Αιγαίου, Ελλάδα",λαικεσ-κατοικιεσ,36.8973459,27.279773,,Ελλάς,Δήμος Κω
4094,4094,9581,"Diou (Allier), Auvergne-Rhône-Alpes, France",diou-,46.5305,3.7513,,France,
4095,4095,5480,"Almelo, Overijssel, Nederland",almelo,52.3566,6.6562,,Nederland,
4096,4096,5483,"Altafulla Tamarit Estacion, CAT, España",altafulla-tamarit-estacion,41.1325,1.3601,,España,Tarragona
4097,4097,7514,"Magnières, Grand-Est, France",magnieres,48.44556,6.5655600000000005,,France,
4098,4098,7515,"Magny, Hauts-de-France, France",magny,49.716,4.053999999999999,,France,
4099,4099,6664,"Futuroscope - Gare TGV (à 1km de Poitiers), Nouvelle-Aquitaine, France",futuroscope---gare-tgv-,46.6699,0.3774,,France,
4100,4100,7121,"Landeyrat, Auvergne-Rhône-Alpes, France",landeyrat,45.27383,2.86383,,France,
4101,4101,7124,"Landshut Bay HBF, Bayern, Deutschland",landshut-bay-hbf,48.5481,12.1353,,Deutschland,
4102,4102,7131,"Langon Loir-et-Cher, Centre-Val de Loire, France",langon-loir-et-cher,47.2847,1.8262,,France,
4103,4103,7798,"Monts Indre-et-Loire, Centre-Val de Loire, France",monts-indre-et-loire,47.281909999999996,0.6544300000000001,,France,
4104,4104,7801,"Montureux-les-Baulay, Bourgogne-Franche-Comté, France",montureux-les-baulay,47.8173,5.9815,,France,
4105,4105,7162,"La Roche-en-Brenil, Bourgogne-Franche-Comté, France",la-roche-en-brenil,47.385,4.1703,,France,
4106,4106,2298,"Razgrad, Razgrad, bulgarie",razgrad,43.56831945,26.506407531767106,,Бългaрия,Разград
4107,4107,2300,"Recz, zachodniopomorskie, Polska",recz,53.2601536,15.546764800000002,,Polska,
4108,4108,5784,"Beuvrages, Hauts-de-France, France",beuvrages,50.3897,3.5097,,France,
4109,4109,5490,"Ambert, Auvergne-Rhône-Alpes, France",ambert,45.55,3.75,,France,
4110,4110,7169,"La Roche-sur-Yon Place de Vendée, Pays de la Loire, France",la-roche-sur-yon-place-de-vendee,46.6693,-1.4326,,France,
4111,4111,7818,"Moscow, Moscow, Russia",moscow,55.752219999999994,37.615559999999995,,Россия,Москва
4112,4112,5492,"Ambronay - Priay, Auvergne-Rhône-Alpes, France",ambronay---priay,46.01165,5.3383400000000005,,France,
4113,4113,5493,"Amecourt Talmontier, Normandie, France",amecourt-talmontier,49.383,1.733,,France,
4114,4114,5494,"Ametlla Del Mar Estacion, CAT, España",ametlla-del-mar-estacion,40.8851,0.8034,,España,
4115,4115,9023,"Travers, Neuchâtel, Schweiz",travers,46.9425,6.6769,,Schweiz/Suisse/Svizzera/Svizra,Val-de-Travers
4116,4116,9607,"ETTENDORF, Grand-Est, France",ettendorf,48.8133,7.585089999999999,,France,
4117,4117,9612,"Falck, Grand-Est, France",falck,49.2333,6.6368,,France,
4118,4118,7171,"Laroque-des-Arcs, Occitanie, France",laroque-des-arcs,44.4766,1.4677,,France,Bellefont-La Rauze
4119,4119,9035,"Trois Ponts, Wallonie, Belgique",trois-ponts,50.3693,5.8728,,België / Belgique / Belgien,
4120,4120,9038,"Tropea, Calabria, Italia",tropea,38.6722,15.8944,,Italia,
4121,4121,9041,"Tubize, Wallonie, Belgique",tubize,50.6917,4.2057,,België / Belgique / Belgien,
4122,4122,2352,"Saalfelden am Steinernen Meer, Salzburg, Österreich",saalfelden-am-steinernen-meer,47.4266166,12.848104800000002,,Österreich,
4123,4123,2356,"Saint-Marcellin, Nouvelle-Aquitaine, France",saint-marcellin,45.1539715,5.320347,,France,
4124,4124,2361,"Saltford, England, UK",saltford,51.4017898,-2.4589812,,United Kingdom,
4125,4125,5803,"Bisceglie, Puglia, Italia",bisceglie,41.2356,16.4994,,Italia,
4126,4126,615,"Osnabrueck, Niedersachsen, Deutschland",osnabrueck,52.2799112,8.0471788,,Deutschland,Osnabrück
4127,4127,2387,"Schkeuditz, Sachsen, Deutschland",schkeuditz,51.3963509,12.2216292,560472.0,Deutschland,
4128,4128,5822,"Blois-Chambord, Centre-Val de Loire, France",blois-chambord,47.5854,1.3238,,France,
4129,4129,4996,"Seefeld in Tirol, Tirol, Österreich",seefeld-in-tirol,47.3300017,11.1877742,,Österreich,
4130,4130,5795,"BIGANOS FACTURE, Nouvelle-Aquitaine, France",biganos-facture,44.63748,-0.96634,,France,
4131,4131,5511,"Andora, Ligurie, Italia",andora,43.9517,8.1392,,Italia,
4132,4132,4794,"Chamonix-Mont-Blanc, Auvergne-Rhône-Alpes, France",chamonix-mont-blanc,45.920039,6.8670845,,France,
4133,4133,8293,"Ribeauville Gare Routiere, Grand-Est, France",ribeauville-gare-routiere,48.1928,7.3247,,France,
4134,4134,9615,"Felines, Auvergne-Rhône-Alpes, France",felines,45.3095,4.7417,,France,
4135,4135,5500,"Ampolla Perello Estacion, CAT, España",ampolla-perello-estacion,40.8143,0.7146,,España,
4136,4136,5506,"Ancizan, Occitanie, France",ancizan,42.873259999999995,0.33804,,France,
4137,4137,2558,"Tillé, Hauts-de-France, France",tille,49.4626011,2.1083232999999995,,France,
4138,4138,2382,"Sárvár, Dunántúl, Magyarország",sarvar,47.2517426,16.9342165,,Magyarország,
4139,4139,2385,"Schaffhausen, Schaffhausen, Schweiz",schaffhausen,47.6960491,8.634513,,Schweiz/Suisse/Svizzera/Svizra,
4140,4140,2386,"Schipkau, Brandenburg, Deutschland",schipkau,51.5190759,13.899745,,Deutschland,
4141,4141,2389,"Schmerikon, Sankt Gallen, Schweiz, Suisse, Svizzera, Svizra",schmerikon,47.2256001,8.9415774,,Schweiz/Suisse/Svizzera/Svizra,
4142,4142,5512,"Andresy, Île-de-France, France",andresy,48.983000000000004,2.066,,France,
4143,4143,9622,"FLERE-LA-RIVIERE, Centre-Val de Loire, France",flere-la-riviere,47.02039,1.10743,,France,
4144,4144,9627,"FONTANIERES, Nouvelle-Aquitaine, France",fontanieres,46.1034,2.4874,,France,
4145,4145,9628,"Fontenau sur eure, Centre-Val de Loire, France",fontenau-sur-eure,48.4004,1.3856,,France,
4146,4146,7172,"Laroque-d'Olmes, Occitanie, France",laroque-dolmes,42.96898,1.87178,,France,
4147,4147,7805,"Morata de Jalon, Aragón, España",morata-de-jalon,41.4757,-1.4803,,España,
4148,4148,7808,"Mores, Aragón, España",mores,41.479,-1.5667,,España,
4149,4149,7809,"Moret - Veneux-les-Sablons, Île-de-France, France",moret---veneux-les-sablons,48.3784,2.7995,,France,
4150,4150,7189,"La Tour-du-Crieu, Occitanie, France",la-tour-du-crieu,43.1019,1.65402,,France,
4151,4151,3597,"Fürstenberg Havel, Brandenburg, Deutschland",furstenberg-havel,53.1807699,13.1442839,,Deutschland,
4152,4152,4921,"okres Bardejov, Prešovský kraj, Slovensko",okres-bardejov,49.2975578308105,21.2821140289307,,Slovensko,okres Bardejov
4153,4153,9633,"Foulain, Grand-Est, France",foulain,48.0398,5.2146,,France,
4154,4154,10319,"Grenoble Résistance, Auvergne-Rhône-Alpes, France",grenoble-resistance,45.202018,5.704852,,France,Grenoble
4155,4155,9639,"Froissy, Hauts-de-France, France",froissy,49.5674,2.2221,,France,
4156,4156,9640,"Fromentine, Pays-de-la-Loire, France",fromentine,46.89132,-2.13597,,France,
4157,4157,7109,"La Motte, Bretagne, France",la-motte,48.235,-2.73222,,France,
4158,4158,7110,"Lamure Collège, Auvergne-Rhône-Alpes, France",lamure-college,46.062,4.4928,,France,
4159,4159,5516,"Anglars, Occitanie, France",anglars,44.7395,1.9064,,France,
4160,4160,5521,"Annonay, Auvergne-Rhône-Alpes, France",annonay,45.2397,4.67075,,France,
4161,4161,2401,"Senj, Ličko-senjska županija, Hrvatska",senj,44.9897329,14.9030557,,Hrvatska,
4162,4162,5829,"Bohain, Hauts-de-France, France",bohain,49.9881,3.4429,,France,
4163,4163,2417,"Silk Willoughby, England, United Kingdom",silk-willoughby,52.972556,-0.4259411,,United Kingdom,
4164,4164,5523,"Anos 31 PN, Occitanie, France",anos-31-pn,42.8974,0.6247,,France,
4165,4165,501,"Marlengo, Trentino-Alto Adige, Italia",marlengo,46.652234,11.1378031,,Italia,
4166,4166,7192,"La Trinité-sur-Mer, Bretagne, France",la-trinite-sur-mer,47.58502,-3.02692,,France,
